target_index,target_date,model_id,candidate_id,window_days,beta,alpha,poisson_deviance,mae,rmse
770,2007-11-14,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79994315759972523,0.41029664682026407,0.52621317168661008
771,2007-11-15,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78998080570596907,0.4102558370130569,0.50698724656054717
772,2007-11-16,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81782884203538064,0.41578522560907788,0.5263731700376113
773,2007-11-17,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76345743503713404,0.40522337400317354,0.48719649217194227
774,2007-11-18,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81789387486841181,0.41583162694860093,0.52638972653344851
775,2007-11-19,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7897781312653831,0.41032120250857446,0.50693386321442335
776,2007-11-20,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73435801028261793,0.39953148416958906,0.46582203087185409
777,2007-11-21,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.85535208429104825,0.4211184189497908,0.56292863837321083
778,2007-11-22,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81708713767701935,0.4156179462942321,0.52618370656944613
779,2007-11-23,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.86629746284753739,0.42119904976688588,0.58053298968173028
780,2007-11-24,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.8181667954209686,0.41584142891529302,0.52645995381121369
781,2007-11-25,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79069951510126646,0.4104692158123518,0.50717874892463244
782,2007-11-26,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76235171948698277,0.40496454382002967,0.48689047815920011
783,2007-11-27,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79216326660206338,0.4108547923885788,0.50756805526768933
784,2007-11-28,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76275535323886856,0.40505860108422648,0.48700228665630702
785,2007-11-29,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78978666071974291,0.41024640570663917,0.50693582993587483
786,2007-11-30,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73516238536399003,0.39967622978121509,0.46605480648421338
787,2007-12-01,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81779634819586222,0.41573087227495159,0.52636460593486267
788,2007-12-02,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79033827719419492,0.4104379382998406,0.50708258234566883
789,2007-12-03,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7908343399397737,0.41056779812825395,0.50721415818306381
790,2007-12-04,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79041651654683565,0.41047769438869236,0.50710386165228005
791,2007-12-05,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.77304616841610152,0.40498386753868559,0.50707459182063597
792,2007-12-06,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82880511843620752,0.41584597560734382,0.54516715720874387
793,2007-12-07,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82874513619212375,0.41591257349278615,0.54515237933390359
794,2007-12-08,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84506787363778524,0.42108133405639075,0.54491948995692807
795,2007-12-09,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79007526595119348,0.41041284160289615,0.50701239437100321
796,2007-12-10,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76151169752658676,0.40476768159817955,0.48665683566913842
797,2007-12-11,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76177913318396517,0.40476701518651836,0.48673130887617633
798,2007-12-12,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76249116275469586,0.40501692899248831,0.4869297764649641
799,2007-12-13,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73426901591647309,0.39946559431185685,0.46579649690246089
800,2007-12-14,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81785770379697131,0.41578671102457931,0.52638085974853388
801,2007-12-15,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78979597988249084,0.41025648011973098,0.50693796647623968
802,2007-12-16,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73581658809966699,0.3998917054744886,0.4662442197009144
803,2007-12-17,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.90146101031296666,0.43209134112341246,0.58068317355805221
804,2007-12-18,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7625378565266856,0.40510020825492854,0.4869412751028469
805,2007-12-19,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79017816316951128,0.41036070945601394,0.50703998785634707
806,2007-12-20,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84618429641852189,0.42132217223444024,0.54519708195043581
807,2007-12-21,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79138986618794294,0.41065379186683687,0.50736165421375556
808,2007-12-22,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.85655312255239091,0.42131280695881995,0.56321721890092247
809,2007-12-23,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7616180653540332,0.40480716635039327,0.486686995125098
810,2007-12-24,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.80116873307118452,0.41056670612313367,0.5265277902743396
811,2007-12-25,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.88344037574566359,0.42649103822536844,0.58050609624446814
812,2007-12-26,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84539922996514116,0.42113201075132634,0.54500226418276554
813,2007-12-27,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.70713490816290558,0.39422317389677025,0.4439875285122809
814,2007-12-28,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81728995867851106,0.41574034131325355,0.52623470420261531
815,2007-12-29,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76247845361471689,0.40502377455507427,0.48692617306680747
816,2007-12-30,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79092339633268705,0.41060855910596394,0.50723870433114349
817,2007-12-31,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84585432846680975,0.42122303614764861,0.54511460985084281
818,2008-01-01,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78995009225562651,0.4103946487310059,0.50697900146655572
819,2008-01-02,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78984134108896176,0.41034652559682422,0.50695017258384467
820,2008-01-03,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79090693643177401,0.41056925413508111,0.50723317631575282
821,2008-01-04,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.88377740113557124,0.42663046364131696,0.58058408378873816
822,2008-01-05,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.87286087655733047,0.42648724506124114,0.56298880561176456
823,2008-01-06,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81738352240915502,0.41575753207068872,0.52625954367873495
824,2008-01-07,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73510366200417421,0.39967785669128275,0.46603844432542341
825,2008-01-08,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81792706286427008,0.41584942696499028,0.52639874690398569
826,2008-01-09,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81845157976380922,0.41589393172244982,0.52653378725447142
827,2008-01-10,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81723794813751705,0.41566950746892467,0.5262222746556684
828,2008-01-11,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82891120858045153,0.41585368733862538,0.54519338132155537
829,2008-01-12,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7905771043244979,0.41047548263441919,0.50714544457681698
830,2008-01-13,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.87293984983577855,0.42653634478536778,0.56300749413269879
831,2008-01-14,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81863305621431559,0.41589328639625317,0.52657895272737198
832,2008-01-15,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81793404160708405,0.41578054075174509,0.52640037035645193
833,2008-01-16,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76187682722423877,0.40484641971737573,0.48675895694089361
834,2008-01-17,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81845622697172227,0.41593577915647356,0.52653516773450504
835,2008-01-18,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76347834887167854,0.4052176542934276,0.48720163425890195
836,2008-01-19,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76217291636083795,0.4049401939924408,0.4868407153554824
837,2008-01-20,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78973990161540841,0.41032332603682414,0.50692336537754734
838,2008-01-21,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79035160534579985,0.41044291224999235,0.50708641290784751
839,2008-01-22,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82844856565366909,0.41577179527781155,0.54507773953798822
840,2008-01-23,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81844206160211197,0.41593627854905901,0.52653048656766677
841,2008-01-24,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.790351738121572,0.41045329240232248,0.50708639718928705
842,2008-01-25,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.92163056389556208,0.43193321622953973,0.61399237525299855
843,2008-01-26,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84498685352436165,0.42111748619541722,0.54489969942138095
844,2008-01-27,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84650550106256073,0.42135337428318276,0.54527478520133488
845,2008-01-28,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76246253592286495,0.40504906490536596,0.48692087788785254
846,2008-01-29,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.77336136967174507,0.40516161412212365,0.50715775671486851
847,2008-01-30,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76303901016302111,0.40508271453265826,0.48708010751584141
848,2008-01-31,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76203226315983474,0.40486649862859708,0.48680191029593911
849,2008-02-01,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82848986948031011,0.41579172437125728,0.54508948261356072
850,2008-02-02,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73569800778172378,0.39981162398923736,0.46620957950843089
851,2008-02-03,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73493012777150868,0.39967896811722575,0.46598715434577764
852,2008-02-04,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.80039814365538287,0.41031165856138457,0.52632972949861867
853,2008-02-05,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81733320058179004,0.41570690864429566,0.52624688132378816
854,2008-02-08,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81818560203781243,0.41578696016599154,0.52646508670980641
855,2008-02-09,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73516012225422644,0.3997235760824861,0.46605339029666626
856,2008-02-10,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.70719170065484394,0.39423995848156906,0.4440059419630607
857,2008-02-11,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7627260670922178,0.40505593599246181,0.48699414446491113
858,2008-02-12,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7342380205281771,0.39947937976673947,0.46578703120591519
859,2008-02-13,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76276461620410374,0.40504013576593695,0.48700441083011159
860,2008-02-14,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.70678621575076184,0.39413079292701858,0.44388302905481547
861,2008-02-15,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76216250640822525,0.40494070226311668,0.4868381705769172
862,2008-02-16,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81757571156104747,0.41568991542437206,0.52630869649620082
863,2008-02-17,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7909480719018106,0.41047427798852681,0.50724387720188424
864,2008-02-18,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.86665662673099308,0.4211413782464693,0.58061646318135585
865,2008-02-19,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82881949137534816,0.41595886663058224,0.54517042654636161
866,2008-02-20,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79029436640029604,0.41040337422923612,0.5070714919066468
867,2008-02-21,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.85659010326827267,0.42129489541141957,0.56322584007407772
868,2008-02-22,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7621935718457814,0.40498255080690171,0.48684666204465143
869,2008-02-23,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81745663070001484,0.41563708745715411,0.52627774739928024
870,2008-02-24,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73550866016272209,0.39981330971665385,0.46615452096606302
871,2008-02-25,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79065285554004427,0.41045755832476394,0.50716578124374345
872,2008-02-26,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79098844488191844,0.41051669084593356,0.50725476009542747
873,2008-02-27,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76278988416728088,0.40504753842869617,0.48701227840170214
874,2008-02-28,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.70763924157342128,0.39436056623001503,0.44414175157599917
875,2008-02-29,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81753259509722509,0.41571956103288982,0.52629784451933226
876,2008-03-01,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76262978005741355,0.40501317467000653,0.48696693777099442
877,2008-03-02,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73460970666558623,0.39952157788533443,0.46589487044736261
878,2008-03-03,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73440957289524111,0.39948654494058028,0.46583711485801216
879,2008-03-04,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.77325540342218857,0.40505181822315395,0.50712974288200541
880,2008-03-05,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7349413842722915,0.39965897410274392,0.46599107557157754
881,2008-03-06,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84511631464783887,0.4210673632713709,0.54493210295594141
882,2008-03-07,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79043351952256469,0.41043206710767693,0.50710735489632097
883,2008-03-08,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.80042365813210059,0.41037914592050972,0.52633641248768437
884,2008-03-09,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.87443000291974204,0.42141271932364155,0.59781213764159735
885,2008-03-10,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.94022127508321407,0.43760447449077505,0.61428366948728397
886,2008-03-11,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84619982980497244,0.42125046889213186,0.54520010618093406
887,2008-03-12,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78982275833908699,0.41030750472483446,0.50694553246984675
888,2008-03-13,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.8180953822843926,0.41586440208398789,0.52644155069751852
889,2008-03-14,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76287893604680845,0.40514066238363883,0.48703616884276096
890,2008-03-15,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79041199491761371,0.41041303525624306,0.50710182235060586
891,2008-03-16,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76212947893637806,0.40491816467573266,0.4868290359640815
892,2008-03-17,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.76240447726031169,0.40497338029438995,0.48690506431235486
893,2008-03-18,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.80106684479170664,0.41047217998478702,0.52650109878146667
